Date,Confirmed,Deaths,Cured
2020-01-30,1,0,0
2020-01-31,1,0,0
2020-02-01,2,0,0
2020-02-02,3,0,0
2020-02-03,3,0,0
2020-02-04,3,0,0
2020-02-05,3,0,0
2020-02-06,3,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,3,0,0
2020-02-10,3,0,0
2020-02-11,3,0,0
2020-02-12,3,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,3,0,0
2020-02-16,3,0,0
2020-02-17,3,0,0
2020-02-18,3,0,0
2020-02-19,3,0,0
2020-02-20,3,0,0
2020-02-21,3,0,0
2020-02-22,3,0,0
2020-02-23,3,0,0
2020-02-24,3,0,0
2020-02-25,3,0,0
2020-02-26,3,0,0
2020-02-27,3,0,0
2020-02-28,3,0,0
2020-02-29,3,0,0
2020-03-01,3,0,0
2020-03-02,5,0,0
2020-03-03,6,0,3
2020-03-04,28,0,3
2020-03-05,30,0,3
2020-03-06,31,0,3
2020-03-07,34,0,3
2020-03-08,39,0,3
2020-03-09,46,0,3
2020-03-10,58,0,3
2020-03-11,60,0,3
2020-03-12,74,0,3
2020-03-13,81,1,3
2020-03-14,84,2,10
2020-03-15,110,2,13
2020-03-16,114,2,13
2020-03-17,137,3,14
2020-03-18,151,3,14
2020-03-19,173,4,20
2020-03-20,223,4,23
2020-03-21,283,4,23
2020-03-22,360,7,24
2020-03-23,433,7,24
2020-03-24,519,9,40
2020-03-25,606,10,43
2020-03-26,694,15,45
2020-03-27,724,17,67
2020-03-28,909,19,80
2020-03-29,1024,27,96
2020-03-30,1251,31,102
2020-03-31,1397,35,124
2020-04-01,1834,41,144
2020-04-02,2069,53,156
2020-04-03,2547,62,163
2020-04-04,3072,75,213
2020-04-05,3577,83,275
2020-04-06,4281,111,319
2020-04-07,4789,124,353
2020-04-08,5274,149,411
2020-04-09,5865,169,478
2020-04-10,6761,206,516
2020-04-11,7529,242,653
2020-04-12,8447,273,765
2020-04-13,9352,324,980
2020-04-14,10815,353,1190
2020-04-15,11933,392,1344
2020-04-16,12759,420,1515
2020-04-17,13835,452,1767
2020-04-18,14792,488,2015
2020-04-19,16116,519,2302
2020-04-20,17656,559,2842
2020-04-21,18985,603,3260
2020-04-22,20471,652,3960
2020-04-23,21700,686,4325
2020-04-24,23452,723,4814
2020-04-25,24893,779,5210
2020-04-26,26605,826,5914
2020-04-27,28160,886,6362
2020-04-28,29834,937,7027
2020-04-29,31709,1008,7797
2020-04-30,33330,1075,8373
2020-05-01,34972,1152,9065
2020-05-02,37157,1218,9951
2020-05-03,40124,1306,10887
2020-05-04,42836,1389,11762
2020-05-05,46711,1583,13161
2020-05-06,49391,1694,14183
2020-05-07,52952,1783,15267
2020-05-08,56342,1886,16540
2020-05-09,59662,1981,17847
