Month,Confirmed,Deaths,Cured
2020-01,2,0,0
2020-02,86,0,0
2020-03,9687,202,808
2020-04,422442,13270,75443
2020-05,2938234,89834,1133341
2020-06,10558374,319690,5668946
2020-07,31726501,793511,19980130
2020-08,80749620,1553468,58580895
2020-09,149113758,2443374,118592934
2020-10,226770312,3457615,198824412
2020-11,264556412,3894165,246213201
2020-12,307177353,4457379,292244085
2021-01,326469747,4709167,315332019
2021-02,305631803,4359434,297133802
2021-03,356305616,4935253,342610397
2021-04,440660671,5340298,384990190
2021-05,751927486,8390917,645106765
2021-06,884673464,11155377,843153433
2021-07,961636364,12781528,935289657
2021-08,350350755,4694523,341194994
